Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Zack Smith,OTT,81,14,12,26,4,98,168,43,1,0,2,1,3,134,.104
Dominic Moore,SAN,79,4,21,25,-18,54,52,23,0,3,1,0,1,103,.039
Drew Miller,DET,80,14,11,25,6,20,79,66,0,0,0,0,4,131,.107
Nathan Gerbe,BUF,62,6,19,25,2,32,53,13,0,1,0,1,2,137,.044
Mark Letestu,COB,62,11,14,25,-9,8,60,19,4,4,0,0,0,114,.096
Erik Condra,OTT,81,8,17,25,11,30,16,69,0,0,2,2,1,140,.057
Ville Leino,BUF,71,8,17,25,-2,16,41,28,1,0,0,0,1,78,.103
Bryan Bickell,CHI,71,9,15,24,-3,48,128,23,0,0,0,0,0,84,.107
James van Riemsdyk,TOR,43,11,13,24,-1,24,37,18,2,3,0,0,1,121,.091
Jamie Langenbrunner,STL,70,6,18,24,7,32,70,19,0,0,0,0,3,127,.047
Michal Handzus,SAN,67,7,17,24,-6,18,52,59,2,3,0,0,0,81,.086
Shawn Matthias,FLA,79,10,14,24,-2,49,60,38,1,1,0,0,1,133,.075
Mikkel Boedker,PHO,82,11,13,24,-2,12,108,21,0,1,0,0,2,86,.128
Tomas Holmstrom,DET,74,11,13,24,-9,40,56,6,10,5,0,0,3,97,.113
Tim Brent,CAR,79,12,12,24,-8,27,64,33,3,4,1,0,3,71,.169
Brian Rolston,BOS,70,7,17,24,-5,14,86,21,1,3,0,0,2,151,.046
Rene Bourque,MON,76,18,6,24,-19,68,86,25,3,3,1,0,1,158,.114
Boyd Gordon,PHO,75,8,15,23,9,10,48,86,0,0,1,2,2,114,.070
Sean Bergenheim,FLA,62,17,6,23,-5,48,109,21,5,0,1,0,2,185,.092
Andrew Shaw,CHI,37,12,11,23,-1,50,82,21,0,4,0,0,2,74,.162
Brad Boyes,NYI,65,8,15,23,2,6,29,24,2,6,0,0,0,100,.080
Daniel Winnik,ANA,84,8,15,23,-11,52,95,50,0,0,1,1,1,184,.043
Niklas Hagman,ANA,71,9,14,23,-7,14,49,29,2,0,0,0,2,125,.072
Justin Abdelkader,DET,81,8,14,22,4,62,148,42,0,0,0,0,1,121,.066
Andy McDonald,STL,25,10,12,22,4,2,3,5,3,3,0,0,2,64,.156
Nick Spaling,NAS,77,10,12,22,-7,18,43,38,0,0,0,1,3,107,.093
Pierre-Marc Bouchard,MIN,37,9,13,22,-1,18,3,9,2,5,0,0,3,84,.107
Vernon Fiddler,DAL,82,8,13,21,-13,60,82,67,0,0,0,1,1,123,.065
Ryan Johansen,COB,67,9,12,21,-2,24,68,24,3,1,0,0,3,99,.091
Jim Slater,WPG,78,13,8,21,-9,42,163,73,0,0,1,0,1,118,.110
Eric Nystrom,DAL,74,16,5,21,-10,24,176,38,0,0,0,0,1,102,.157
Paul Gaustad,NAS,70,7,14,21,-1,76,114,47,0,0,0,1,3,75,.093
Radek Dvorak,DAL,73,4,17,21,-16,12,51,56,0,0,1,0,0,83,.048
Jarret Stoll,LOS,78,6,15,21,2,60,165,46,1,7,0,0,0,133,.045
Derek Dorsett,COB,77,12,8,20,-11,235,199,40,2,1,1,0,1,137,.088
Mason Raymond,VAN,55,10,10,20,4,18,32,13,1,0,1,0,2,125,.080
Vladimir Sobotka,STL,73,5,15,20,12,42,152,29,0,1,1,0,1,117,.043
Ruslan Fedotenko,PHI,73,9,11,20,-7,16,86,57,1,1,0,0,1,94,.096
Luke Adam,BUF,52,10,10,20,-6,14,26,15,0,3,0,0,0,89,.112
Anthony Stewart,LOS,77,9,11,20,-2,30,92,15,0,2,0,0,1,64,.141
Maxim Lapierre,VAN,82,9,10,19,-3,130,244,24,0,0,0,0,0,103,.087
Gabriel Bourque,NAS,43,7,12,19,-2,6,66,19,0,0,0,0,1,59,.119
Adam Burish,SAN,65,6,13,19,6,76,69,36,0,2,0,0,1,82,.073
Taylor Pyatt,NYR,73,9,10,19,-4,23,137,20,0,1,0,0,1,111,.081
Tom Pyatt,TAM,74,12,7,19,-19,8,40,52,1,0,0,0,1,95,.126
Torrey Mitchell,MIN,76,9,10,19,-6,29,94,33,0,0,0,0,0,100,.090
Matthew Lombardi,TOR,62,8,10,18,-19,10,58,34,0,0,1,0,2,101,.079
Matt D'Agostini,STL,55,9,9,18,12,27,48,18,3,0,0,0,3,101,.089
Nick Bonino,ANA,50,5,13,18,1,8,18,39,0,1,0,0,0,63,.079
Craig Adams,PIT,82,5,13,18,-6,34,162,45,0,0,0,3,0,76,.066
Matt Stajan,CGY,61,8,10,18,-3,29,49,33,0,2,0,0,1,77,.104
Joel Ward,WAS,73,6,12,18,12,20,75,41,0,0,0,0,0,79,.076
Mike Knuble,WAS,72,6,12,18,-15,32,86,45,0,4,0,0,0,91,.066
Brayden Schenn,PHI,54,12,6,18,-7,34,136,26,4,1,0,0,3,97,.124
Manny Malhotra,VAN,78,7,11,18,-11,14,44,45,0,0,0,0,2,60,.117
Brandon Prust,MON,82,5,12,17,-1,156,144,51,0,0,2,0,2,68,.074
Andrew Desjardins,SAN,76,4,13,17,4,47,93,49,0,0,0,1,3,80,.050
Samuel Pahlsson,VAN,80,4,13,17,-2,34,123,37,0,0,1,1,1,93,.043
Jay McClement,TOR,80,10,7,17,-8,31,72,54,0,0,1,0,1,95,.105
Simon Gagne,LOS,34,7,10,17,-1,18,17,10,0,4,1,0,2,75,.093
Dustin Penner,LOS,65,7,10,17,-7,43,90,16,1,0,0,0,0,119,.059
Peter Mueller,FLA,32,7,9,16,-3,8,14,10,1,4,0,0,1,82,.085
Tanner Glass,PIT,78,5,11,16,-12,73,246,51,0,0,0,0,1,86,.058
Arron Asham,NYR,64,5,11,16,-5,76,95,8,0,0,0,0,0,49,.102
Gregory Campbell,BOS,78,8,8,16,-3,80,107,53,0,0,0,0,0,74,.108
Jeff Halpern,NYR,69,4,12,16,-1,24,55,44,0,0,0,0,1,63,.063
Travis Moen,MON,48,9,7,16,-3,41,75,41,0,0,1,0,0,45,.200
Eric Belanger,EDM,78,4,12,16,-13,32,36,41,1,4,1,0,0,118,.034
Bobby Butler,NJD,56,6,10,16,8,12,34,13,0,0,0,0,4,86,.070
Kyle Chipchura,PHO,53,3,13,16,2,42,67,14,0,0,0,0,0,43,.070
John Mitchell,COL,63,5,11,16,10,8,89,27,0,2,0,0,0,64,.078
Brian Gionta,MON,31,8,7,15,-7,16,35,13,2,1,0,0,0,75,.107
Tom Wandell,DAL,72,6,9,15,-5,16,52,30,0,0,0,0,0,103,.058
Daniel Paille,BOS,69,9,6,15,-5,15,59,24,0,0,2,0,1,86,.105
Blake Comeau,CGY,74,5,10,15,-11,30,144,22,0,0,0,0,0,137,.037
Michael Frolik,CHI,63,5,10,15,-10,22,56,32,0,0,0,1,0,117,.043
Matt Frattin,TOR,56,8,7,15,-4,25,81,12,0,1,0,0,2,92,.087
Brett Connolly,TAM,68,4,11,15,-9,30,58,19,1,2,0,0,2,94,.043
T.J. Galiardi,SAN,69,9,6,15,-8,53,110,22,0,0,1,0,2,113,.080
Nate Thompson,TAM,68,9,6,15,-23,21,107,56,0,0,0,0,1,85,.106
Jordan Caron,BOS,48,7,8,15,0,14,64,15,0,0,0,0,0,57,.123
Jamal Mayers,CHI,81,6,9,15,-4,91,102,25,0,1,0,0,1,70,.086
Matt Beleskey,ANA,70,4,11,15,-2,72,104,20,0,1,0,0,0,75,.053
Gilbert Brule,PHO,33,5,9,14,7,11,55,13,1,0,0,0,0,56,.089
Derek MacKenzie,COB,66,7,7,14,4,40,189,19,1,0,2,1,2,61,.115
Matt Martin,NYI,80,7,7,14,-17,121,374,41,0,0,0,2,1,130,.054
Cam Atkinson,COB,27,7,7,14,1,14,23,17,1,1,0,0,0,66,.106
Joe Vitale,PIT,68,4,10,14,-5,56,106,36,0,0,0,1,1,70,.057
Chuck Kobasew,COL,58,7,7,14,-10,51,62,20,0,1,1,0,2,65,.108
Dwight King,LOS,27,5,9,14,3,10,37,5,0,2,0,0,1,42,.119
Richard Park,PIT,54,7,7,14,-1,12,28,18,0,2,1,0,4,44,.159
Ben Eager,EDM,63,8,5,13,-1,107,73,17,0,0,0,0,3,69,.116
Darroll Powe,MIN,82,6,7,13,-20,57,151,91,0,0,0,0,1,109,.055
Drayson Bowman,CAR,37,6,7,13,2,4,54,10,0,1,0,0,0,70,.086
Antti Miettinen,WPG,45,5,8,13,-5,0,38,11,1,3,0,0,0,58,.086
Shawn Thornton,BOS,81,5,8,13,-7,154,91,12,0,0,1,0,0,114,.044
Dave Steckel,TOR,76,8,5,13,-14,10,170,66,1,0,2,0,0,79,.101
Devante Smith-Pelly,ANA,49,7,6,13,-7,16,104,9,1,1,1,0,1,66,.106
Marcus Foligno,BUF,14,6,7,13,6,9,44,11,2,1,0,0,1,23,.261
Ryan Shannon,TAM,45,4,8,12,-11,10,22,15,1,2,0,0,0,46,.087
Jason Blake,ANA,45,7,5,12,-4,6,41,17,2,1,0,0,3,109,.064
Patrick Dwyer,CAR,73,5,7,12,0,23,129,62,0,1,2,0,0,120,.042
Erik Christensen,MIN,49,7,5,12,-13,8,26,4,3,1,0,0,1,44,.159
Kyle Clifford,LOS,81,5,7,12,-5,123,179,9,0,0,0,0,2,88,.057
Tom Kostopoulos,CGY,81,4,8,12,-15,57,124,48,1,0,1,0,1,91,.044
Wojtek Wolski,WAS,31,4,8,12,-5,2,34,5,0,1,0,0,0,50,.080
Mathieu Darche,NJD,61,5,7,12,-4,18,79,45,0,0,2,2,0,77,.065
Cody McLeod,COL,75,6,5,11,0,164,123,13,0,0,0,0,0,62,.097
Roman Horak,CGY,61,3,8,11,3,14,28,20,0,0,0,0,1,53,.057
Brendan Morrison,CHI,39,4,7,11,-5,12,8,21,0,2,0,0,0,43,.093
J.T. Wyman,TAM,40,2,9,11,1,8,33,15,0,0,0,0,1,31,.065
Kaspars Daugavins,OTT,65,5,6,11,-2,12,58,33,0,1,0,1,1,77,.065
Mikael Backlund,CGY,41,4,7,11,-13,16,25,19,2,1,0,0,2,85,.047
Mike Santorelli,FLA,60,9,2,11,-10,18,49,17,2,1,0,0,1,117,.077
Scott Gomez,MON,38,2,9,11,-9,14,11,12,2,1,0,0,1,59,.034
Keith Aucoin,TOR,27,3,8,11,4,0,10,7,0,0,0,0,1,21,.143
Dan Carcillo,CHI,28,2,9,11,10,82,76,9,0,0,0,0,0,27,.074
Chris Thorburn,WPG,72,4,7,11,-6,83,151,46,0,0,0,0,0,69,.058
Patrick Kaleta,BUF,63,5,5,10,-5,116,139,46,0,0,0,0,1,69,.072
Cory Emmerton,DET,71,6,4,10,1,14,37,31,0,1,0,0,0,63,.095
Tomas Vincour,DAL,47,4,6,10,-2,2,52,16,0,0,0,0,1,65,.062
Zack Kassian,VAN,44,4,6,10,-2,51,79,2,0,1,0,0,0,54,.074
Brad Winchester,CGY,67,6,4,10,-5,88,78,13,0,0,0,0,0,72,.083
Louis Leblanc,MON,42,5,5,10,3,28,68,18,0,0,0,0,0,58,.086
Jack Skille,FLA,46,4,6,10,-9,28,99,16,0,0,1,0,1,76,.053
Guillaume Latendresse,OTT,16,5,4,9,6,20,37,3,1,0,0,0,1,36,.139
Matt Hendricks,WAS,78,4,5,9,-6,95,219,52,0,0,0,1,0,97,.041
Tommy Wingels,SAN,33,3,6,9,-1,18,102,23,0,1,0,0,0,71,.042
Tim Wallace,CAR,49,3,6,9,-3,16,104,11,0,0,0,0,1,26,.115
Jimmy Hayes,CHI,31,5,4,9,-3,16,50,6,1,1,0,0,0,41,.122
Lennart Petrell,EDM,60,4,5,9,-10,45,122,47,0,0,1,1,0,36,.111
David Moss,PHO,32,2,7,9,-3,12,43,24,0,0,0,0,0,82,.024
Jacob Josefson,NJD,41,2,7,9,10,6,16,13,0,0,0,0,0,37,.054
Zac Rinaldo,PHI,66,2,7,9,-1,232,175,19,0,0,0,0,0,54,.037
Spencer Machacek,WPG,13,2,7,9,8,7,24,1,0,0,0,0,0,12,.167
Eric Wellwood,PHI,24,5,4,9,12,2,16,12,0,0,0,1,1,36,.139
Benn Ferriero,PIT,35,7,1,8,0,8,43,13,0,0,0,0,4,68,.103
Colin Fraser,LOS,67,2,6,8,-2,67,149,25,0,0,0,0,0,54,.037
Ryan Carter,NJD,72,4,4,8,-13,90,114,25,0,0,0,0,0,50,.080
Blair Jones,CGY,43,3,5,8,-1,18,49,29,0,1,0,0,1,58,.052
David Ullstrom,NYI,29,4,4,8,-2,6,32,8,1,0,0,0,1,40,.100
Scott Nichol,STL,80,3,5,8,-5,83,92,29,0,0,0,1,0,67,.045
Colton Gillies,COB,75,2,6,8,-9,35,161,46,0,0,0,0,0,48,.042
Matt Bradley,FLA,45,3,5,8,-3,31,134,11,0,0,0,0,0,35,.086
Dale Weise,VAN,68,4,4,8,-1,81,118,23,0,0,0,0,0,48,.083
Cody Eakin,DAL,30,4,4,8,2,4,15,7,0,0,0,0,0,31,.129
Matt Ellis,BUF,60,3,5,8,-3,25,34,17,0,0,0,0,1,85,.035
Jochen Hecht,BUF,22,4,4,8,1,6,14,9,0,0,1,0,0,40,.100
Jesse Winchester,OTT,32,2,6,8,2,22,51,9,0,0,1,0,0,52,.038
Brad Richardson,LOS,59,5,3,8,-6,30,65,15,0,0,1,0,0,98,.051
Corey Tropp,BUF,34,3,5,8,0,20,47,20,0,0,0,0,1,32,.094
Andreas Nodl,CAR,60,3,5,8,-5,8,68,17,0,0,0,0,0,66,.045
Magnus Paajarvi,EDM,41,2,6,8,-7,4,18,8,0,2,0,0,0,79,.025
Trent Hunter,LOS,38,2,5,7,-4,8,72,6,0,1,0,0,1,51,.039
Casey Wellman,FLA,14,2,5,7,-4,0,6,7,0,1,0,0,1,25,.080
Tim Jackman,CGY,75,1,6,7,-21,94,160,16,0,0,0,0,0,103,.010
Cal O'Reilly,PIT,33,2,5,7,-11,4,5,10,1,1,0,0,0,17,.118
Andrei Loktionov,LOS,39,3,4,7,-4,2,7,6,1,0,0,0,0,60,.050
Gustav Nyquist,DET,18,1,6,7,2,2,4,0,0,0,0,0,0,19,.053
Brandon Yip,NAS,35,3,4,7,1,28,51,10,0,0,0,0,0,41,.073
Nazem Kadri,TOR,21,5,2,7,2,8,25,5,1,0,0,0,1,28,.179
Kevin Porter,BUF,35,4,3,7,-2,17,36,8,0,0,0,0,0,32,.125
Chris Porter,STL,47,4,3,7,-1,11,124,4,0,0,0,0,1,61,.066
Nick Palmieri,MIN,38,4,3,7,-10,14,39,7,0,0,0,0,0,55,.073
Kyle Palmieri,ANA,18,4,3,7,3,6,20,6,0,0,0,0,0,34,.118
Jake Dowell,MIN,52,2,5,7,-3,53,80,11,0,0,0,0,0,39,.051
Adam Hall,TAM,57,2,5,7,-11,17,89,30,0,0,0,0,1,63,.032
Trevor Lewis,LOS,72,3,4,7,-3,26,117,25,0,0,0,0,1,103,.029
Alexander Radulov,NAS,9,3,4,7,3,4,5,5,0,1,0,0,0,21,.143
Mark Olver,COL,24,4,3,7,0,15,43,9,0,0,0,0,1,25,.160
Petteri Nokelainen,MON,56,3,4,7,-6,37,46,10,0,0,0,0,1,37,.081
Marty Reasoner,NYI,61,1,5,6,-25,34,43,31,0,0,0,0,0,69,.014
Andrew Ebbett,VAN,18,5,1,6,2,6,15,9,1,0,0,0,2,27,.185
Dustin Jeffrey,PIT,26,4,2,6,-4,2,19,8,0,0,1,0,0,33,.121
Harry Zolnierczyk,PHI,37,3,3,6,-11,35,67,14,0,0,0,0,0,49,.061
David van der Gulik,COL,25,1,5,6,3,2,32,11,0,0,0,0,0,20,.050
Ben Maxwell,WPG,15,1,5,6,4,2,11,6,0,0,0,0,0,10,.100
Jerred Smithson,FLA,69,1,5,6,-5,34,128,43,0,0,0,1,0,37,.027
Jim O'Brien,OTT,28,3,3,6,6,4,28,9,0,0,0,0,1,37,.081
Mattias Tedenby,NJD,43,1,5,6,-15,16,25,1,0,0,0,0,0,46,.022
Anton Lander,EDM,56,2,4,6,-8,12,32,12,0,0,1,0,0,54,.037
Steve Bernier,NJD,32,1,5,6,6,16,61,13,0,0,0,0,0,23,.043
Travis Zajac,NJD,15,2,4,6,-3,4,11,3,1,0,0,0,1,25,.080
Scottie Upshall,FLA,26,2,3,5,-3,29,44,2,1,0,0,0,1,53,.038
Trevor Smith,PIT,16,2,3,5,2,4,19,7,0,0,0,1,0,17,.118
Marco Sturm,FLA,48,3,2,5,-13,25,49,14,0,0,0,0,1,65,.046
Aaron Palushaj,MON,38,1,4,5,1,8,28,11,0,0,0,0,0,37,.027
Warren Peters,PIT,58,1,4,5,-15,54,70,34,0,0,0,0,0,54,.019
Michael Rupp,NYR,60,4,1,5,-1,97,103,13,0,0,0,0,2,31,.129
Toby Petersen,DAL,39,2,3,5,-7,6,34,14,0,1,0,0,0,44,.045
Joakim Lindstrom,COL,16,2,3,5,-9,0,1,6,1,0,0,0,0,22,.091
Andrew Gordon,VAN,37,2,3,5,-10,6,49,17,0,0,0,0,0,38,.053
Darryl Boyce,COB,37,1,4,5,-8,35,46,14,0,0,0,0,1,25,.040
Paul Byron,CGY,22,3,2,5,3,2,26,2,0,0,0,0,1,13,.231
Krys Barch,NJD,51,2,3,5,0,114,67,10,0,0,0,0,0,24,.083
Jerome Samson,CAR,16,2,3,5,-3,8,10,5,1,1,0,0,0,31,.065
Zenon Konopka,MIN,55,3,2,5,-4,193,54,18,1,0,0,0,1,34,.088
Dana Tyrell,TAM,26,0,5,5,-5,6,20,15,0,0,0,0,0,23,.000
Michal Repik,FLA,17,2,3,5,-3,6,24,1,1,2,0,0,0,35,.057
Stephane Da Costa,OTT,22,3,2,5,-9,8,14,13,0,0,0,0,0,31,.097
Joe Colborne,TOR,10,1,4,5,2,4,20,8,0,0,0,0,0,7,.143
Jay Beagle,WAS,41,4,1,5,-2,23,66,23,0,0,0,0,0,49,.082
Blake Geoffrion,MON,35,2,3,5,0,27,40,13,0,0,0,0,0,29,.069
Teemu Hartikainen,EDM,17,2,3,5,1,6,36,11,0,0,0,0,1,24,.083
George Parros,FLA,46,1,3,4,1,85,57,16,0,0,0,0,0,17,.059
Evgeny Grachev,STL,26,1,3,4,-4,2,23,10,0,0,0,0,1,14,.071
Patrick O'Sullivan,PHO,23,2,2,4,-4,2,7,4,0,1,0,0,0,34,.059
Brandon McMillan,ANA,25,0,4,4,-10,20,21,13,0,0,0,0,0,26,.000
Jordan Nolan,LOS,26,2,2,4,2,28,59,4,0,0,0,0,1,19,.105
Mike Brown,TOR,50,2,2,4,-8,74,120,24,0,0,0,1,0,56,.036
Mike Blunden,MON,39,2,2,4,-1,27,104,15,0,0,0,0,0,34,.059
Ryan Reaves,STL,60,3,1,4,0,124,171,7,0,0,0,0,1,32,.094
Ethan Moreau,LOS,28,1,3,4,-3,20,53,6,0,0,0,0,1,29,.034
Peter Regin,OTT,10,2,2,4,3,2,6,3,0,0,0,0,0,15,.133
Byron Bitz,VAN,10,1,3,4,2,14,20,7,0,0,0,0,0,6,.167
Casey Cizikas,NYI,15,0,4,4,1,6,26,9,0,0,0,0,0,12,.000
Paul Szczechura,BUF,9,1,3,4,0,4,7,3,0,0,0,0,0,11,.091
Andrew Murray,STL,39,1,3,4,3,4,66,8,0,0,0,0,0,33,.030
Cody McCormick,BUF,50,1,3,4,-7,56,67,11,0,0,0,0,0,43,.023
Maxime Macenauer,WPG,29,1,3,4,-4,18,17,4,0,0,0,0,1,14,.071
Marc-Antoine Pouliot,PHO,13,0,4,4,-2,2,10,1,0,0,0,0,0,19,.000
Jay Pandolfo,BOS,62,1,2,3,-14,8,48,69,0,0,0,1,0,44,.023
Darcy Hordichuk,EDM,43,1,2,3,-3,64,67,2,0,0,0,0,0,27,.037
Zac Dalpe,CAR,16,1,2,3,-3,4,16,4,0,0,0,0,0,20,.050
Brett Bulmer,MIN,9,0,3,3,1,6,17,2,0,0,0,0,0,7,.000
Jaden Schwartz,STL,7,2,1,3,1,0,1,5,1,0,0,0,1,6,.333
Lance Bouma,CGY,27,1,2,3,-5,11,45,26,0,0,0,0,0,26,.038
Ryan Garbutt,DAL,20,2,1,3,-1,22,48,3,0,0,0,0,1,28,.071
Sven Baertschi,CGY,5,3,0,3,2,4,5,0,0,0,0,0,0,10,.300
Colby Armstrong,MON,29,1,2,3,-8,9,37,5,0,0,0,0,0,14,.071
